,ax,ay,az,gx,gy,gz,action
331,-0.85,4.74,8.6,-172.43,-107.18,58.2,grenade
332,1.23,3.43,10.54,-52.37,14.43,11.29,grenade
333,-1.67,4.01,7.4,21.53,67.05,-14.92,grenade
334,-1.55,4.73,5.01,-7.84,10.11,-13.68,grenade
335,-1.74,3.47,4.62,-42.97,-15.33,-17.35,grenade
336,-0.8,2.62,4.84,-51.96,-77.04,-21.36,grenade
337,1.18,-0.42,4.2,-113.25,-42.28,-14.35,grenade
338,-0.93,-2.49,2.91,-64.19,-76.54,-69.2,grenade
339,-1.03,-2.45,2.02,-105.53,-200.5,-53.41,grenade
340,-1.0,-2.2,0.31,-133.81,-195.06,8.98,grenade
341,-1.57,-3.06,1.09,-243.61,-204.16,96.29,grenade
342,0.37,-4.38,0.88,-178.75,-323.37,155.77,grenade
343,2.17,-11.03,0.59,-253.01,250.44,292.16,grenade
344,13.69,-18.17,-2.05,-135.02,235.17,302.2,grenade
345,13.88,-20.05,-1.56,-7.96,257.7,255.63,grenade
346,16.89,-24.23,-5.05,102.83,282.73,281.63,grenade
347,16.75,-19.28,-7.52,127.52,-195.14,290.7,grenade
348,17.5,-17.71,-5.01,-8.36,-110.65,302.56,grenade
349,15.92,-14.86,-3.18,-25.8,144.66,222.44,grenade
350,24.21,4.52,15.06,-306.26,-16.43,155.33,grenade
351,10.95,-3.83,22.49,-240.17,131.0,188.33,grenade
352,6.05,0.68,14.36,-179.74,-18.14,288.3,grenade
353,5.12,-4.75,10.3,-168.16,-24.93,319.13,grenade
354,2.91,-6.95,4.71,-210.66,-76.92,309.92,grenade
355,-4.45,-5.5,-6.38,-273.83,0.16,312.79,grenade
356,-11.33,-2.55,-16.06,275.91,31.95,-228.12,grenade
357,-15.14,1.89,-22.6,133.58,-85.28,-64.3,grenade
358,-11.54,2.55,-20.08,-138.24,-103.55,93.23,grenade
359,-8.3,2.54,-15.62,-322.61,3.54,260.24,grenade
360,-6.1,-6.07,-9.68,155.33,47.79,-326.63,grenade
361,-5.13,-24.09,-7.42,155.33,8.88,315.07,grenade
362,3.35,-23.97,6.9,-265.58,-5.73,199.4,grenade
363,10.9,-8.49,16.61,-127.78,275.7,259.08,grenade
364,6.27,3.15,13.28,67.31,40.94,11.33,grenade
365,2.31,3.87,7.28,72.71,-63.45,-148.09,grenade
366,-4.57,7.08,4.86,38.94,164.41,-71.09,grenade
367,-5.1,7.42,6.46,-86.92,98.45,28.85,grenade
368,-1.13,3.86,9.47,-115.19,-81.88,38.01,grenade
369,1.36,4.3,9.59,-45.62,-13.62,2.99,grenade
370,-0.28,2.89,8.18,2.04,33.05,-13.16,grenade
371,-1.08,4.96,5.62,-0.82,39.49,-25.97,grenade
372,-1.09,2.06,5.19,-64.16,13.04,-6.34,grenade
373,-0.62,2.99,4.85,-49.45,-51.92,-14.1,grenade
374,1.09,-0.56,4.34,-84.06,-59.65,-27.94,grenade
375,0.0,-0.01,3.8,-47.19,-67.18,-41.17,grenade
376,-0.07,-2.08,2.4,-112.0,-90.76,-33.17,grenade
377,-1.17,-2.03,2.22,-97.29,-172.88,-14.42,grenade
378,-0.32,-3.4,2.32,-202.5,-227.6,77.03,grenade
379,1.26,-4.1,2.52,-173.47,-264.85,138.59,grenade
380,2.59,-9.18,1.38,-246.2,306.54,223.26,grenade
381,10.05,-15.52,-0.65,-212.51,196.66,296.31,grenade
382,17.39,-20.55,-0.62,-111.47,254.84,278.61,grenade
383,14.64,-17.11,-2.17,50.99,-232.89,241.24,grenade
384,18.34,-18.48,-2.98,52.4,-193.9,242.49,grenade
385,4.53,-6.22,8.26,-174.95,-55.34,313.02,grenade
386,-0.3,-7.84,0.36,-222.68,4.28,279.63,grenade
387,-7.67,-3.7,-11.53,-296.8,33.81,-298.76,grenade
388,-11.29,0.62,-16.54,226.07,-48.17,-188.29,grenade
389,-13.21,1.83,-17.96,67.78,-18.76,-66.09,grenade
390,-11.96,2.97,-18.89,-84.11,-61.14,128.62,grenade
391,-8.06,1.48,-14.71,-324.12,-44.91,233.21,grenade
392,-6.32,-6.13,-10.18,155.33,65.25,-299.84,grenade
393,-2.28,-25.26,3.22,155.33,48.69,-300.08,grenade
394,4.25,-18.95,7.54,-237.04,86.37,158.45,grenade
395,11.14,-5.5,15.39,-140.2,-276.29,252.5,grenade
396,3.88,4.63,8.04,23.98,20.09,-10.34,grenade
397,2.63,3.87,7.7,-3.11,-118.24,-127.83,grenade
398,-4.16,6.5,5.68,46.46,276.66,-95.64,grenade
399,-7.47,8.57,5.77,-113.47,77.24,8.05,grenade
400,-2.54,4.81,10.99,-128.27,-50.34,31.14,grenade
401,-1.2,4.28,11.62,-32.64,-5.02,12.97,grenade
402,-1.55,5.01,9.21,10.37,23.4,-3.41,grenade
403,-2.3,5.46,7.08,-4.53,13.09,3.87,grenade
404,-0.5,5.03,6.95,-48.0,-38.14,17.76,grenade
405,-0.28,3.58,6.03,-28.97,-5.89,2.12,grenade
406,-0.36,2.89,3.71,-25.13,-41.38,-9.65,grenade
407,0.22,3.71,2.43,-56.85,-81.83,-22.66,grenade
408,0.46,-0.88,2.33,-161.72,-100.51,-4.99,grenade
409,0.28,-1.4,1.98,-133.69,-131.99,-27.33,grenade
410,0.83,-3.51,2.53,-164.1,-153.25,-23.65,grenade
411,-1.01,-4.01,2.13,-183.63,-123.92,31.55,grenade
412,0.51,-5.91,0.95,-246.99,310.87,75.9,grenade
413,4.52,-7.44,2.3,-202.66,-265.81,144.48,grenade
414,1.92,-12.23,2.39,-228.38,-310.8,221.19,grenade
415,10.79,-17.95,0.05,-140.3,274.28,248.5,grenade
416,11.91,-20.12,-1.96,-7.73,-322.12,236.19,grenade
417,11.34,-19.8,-3.93,45.42,255.08,209.16,grenade
418,16.36,-21.24,-3.93,100.31,-251.25,255.04,grenade
